ID	ST	Serovar	GC (%)	Total reads	Passed reads (%)	Low quality reads (%)	too many Ns reads (%)	Too short reads (%)	No. of contigs	Placeholders (N) per 100kbp	N50	Total assembled bases	Point Mutations StarAMR	All AMR ARIBA-NCBI	Sample Accession	Run Accession	Collection Year	Source Niche	Source Type	Source Details	Country	Region	Source Lab
BRCH23-C1A01	11	Enteritidis	52.13	1665354	97.23	2.48	0.19	0.1	50	0	478727	4707167	gyrA (D87N)	No result	ERS9927270	ERR8025255	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A02	413	Mbandaka	52.04	1765840	97.24	2.48	0.18	0.1	126	0	322079	4857047	No result	"aadA2.NG_051846.1, blaTEM_1.NG_050145.1, qnrS1.NG_050543.1, sul3.NG_048120.1"	ERS9927208	ERR8025192	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A03	964	Poona	52.23	1753306	97.22	2.47	0.18	0.12	68	2.23	397226	4484193	No result	No result	ERS9927221	ERR8025206	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A04	319	Tennessee	52.17	2146380	97.14	2.48	0.18	0.2	59	0	465154	4751873	No result	No result	ERS9927308	ERR8025296	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A05	96	Schwarzengrund	52.05	2332424	97.15	2.51	0.19	0.15	61	0	412610	4631760	No result	No result	ERS9927287	ERR8025273	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A06	24	Javiana	52.12	1864856	97.21	2.5	0.19	0.11	43	0	455402	4509820	No result	No result	ERS9927321	ERR8025309	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A07	329	Ohio	52.08	1995368	97.18	2.49	0.18	0.16	79	0	447684	4730781	No result	No result	ERS9927245	ERR8025230	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A08	14	Senftenberg	52.03	2437396	97.09	2.63	0.18	0.09	100	0	286629	4858200	No result	qnrB19.NG_050479.1	ERS9927267	ERR8025252	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A09	64	Anatum	51.71	2127798	97.17	2.52	0.19	0.11	105	0	441720	5223728	No result	"aadA2.NG_051846.1, qnrS1.NG_050543.1"	ERS9927261	ERR8025246	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A10	Unknown	Muenchen	52.14	2885742	96.98	2.65	0.18	0.19	63	0	485799	4696108	No result	qnrB19.NG_050479.1	ERS9927262	ERR8025247	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A11	96	Schwarzengrund	52.09	1782242	97.05	2.63	0.18	0.13	60	0	508343	4641550	No result	qnrB19.NG_050479.1	ERS9927206	ERR8025190	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1A12	48	Panama	52.28	2214066	97.25	2.43	0.18	0.14	58	0	384056	4508450	No result	No result	ERS9927304	ERR8025291	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B01	15	Heidelberg	52.05	1792710	97.34	2.36	0.19	0.11	100	0	270998	5031611	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927197	ERR8025181	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B02	413	Mbandaka	51.91	1844422	97.26	2.45	0.19	0.1	120	0	322273	5006887	No result	"aac_3__VIa.NG_052583.3, aadA1.NG_052477.1, qacEdelta1.NG_048042.1, qnrE1.NG_054677.1, sul1.NG_048082.1"	ERS9927311	ERR8025299	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B03	14	Senftenberg	52	1787740	97.21	2.49	0.18	0.12	92	0	351719	4751939	No result	No result	ERS9927355	ERR8025362	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Rio Grande do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B04	Unknown	Give	52.26	1616316	97.12	2.51	0.18	0.2	65	0	441378	4523082	No result	No result	ERS9927341	ERR8025329	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B05	11	Enteritidis	52.13	1970110	97.19	2.47	0.19	0.16	48	0	489519	4706703	gyrA (D87N)	No result	ERS9927315	ERR8025303	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B06	548	Minnesota	52.12	2909816	97.3	2.41	0.18	0.1	141	0	109594	4865394	No result	"aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927247	ERR8025232	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B07	Unknown	Kentucky	51.75	1988054	97.13	2.52	0.19	0.16	98	0	381163	5246553	No result	"aadA1.NG_047324.1, qacEdelta1.NG_048042.1, sul1.NG_048082.1"	ERS9927319	ERR8025307	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B08	Unknown	Senftenberg	52.02	2518944	97.16	2.57	0.18	0.09	121	0	286629	4974772	No result	"aadA5.NG_047357.1, aph_3____Ib.NG_056002.2, aph_6__Id.NG_047464.1, dfrA17.NG_065416.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048153.1"	ERS9927345	ERR8025335	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B09	14	Senftenberg	52.01	2180224	97.09	2.61	0.18	0.11	118	0	286629	4864270	No result	No result	ERS9927286	ERR8025271	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B10	367	Cerro	52.32	3896548	97.01	2.61	0.19	0.19	131	0	221895	4513985	No result	No result	ERS9927246	ERR8025231	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B11	Unknown	Heidelberg	52.06	3325224	97.23	2.45	0.19	0.14	85	0	297371	4835456	gyrA (S83F)	"fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927322	ERR8025310	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1B12	Unknown	Enteritidis	52.14	2445592	97.18	2.49	0.18	0.15	62	0	400451	4696658	No result	No result	ERS9927187	ERR8025171	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C01	548	Minnesota	52.08	1764428	97.31	2.4	0.19	0.1	148	0	144614	4915269	No result	"aadA1.NG_052536.1, aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927329	ERR8025317	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C02	Unknown	Heidelberg	52.02	1685986	97.28	2.45	0.18	0.1	106	0	248512	5007541	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, mcr_1.26.NG_068217.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927292	ERR8025279	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C03	15	Heidelberg	52.01	1905224	97.28	2.41	0.19	0.12	93	0	248605	5046793	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927233	ERR8025218	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Rio Grande do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C04	544	Molade	52.18	1722196	97.03	2.6	0.18	0.19	62	0	662390	4658101	No result	"fosA7.4.NG_067230.1, qnrB19.NG_050479.1"	ERS9927234	ERR8025219	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C05	654	Give	51.87	1507806	96.98	2.68	0.18	0.16	62	0	398300	4948531	No result	"aadA2.NG_047343.1, aph_3___Ia.NG_047430.1, catA1.NG_047587.1, dfrA12.NG_047689.1, qacEdelta1.NG_048042.1, sul1.NG_048082.1, tet_B_.NG_048173.1"	ERS9927275	ERR8025260	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C06	367	Cerro	52.36	1688556	97.08	2.62	0.19	0.11	88	0	351813	4464640	No result	No result	ERS9927340	ERR8025328	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C07	Unknown	Braenderup	52.27	1611068	97.03	2.62	0.19	0.16	57	0	496485	4641953	No result	No result	ERS9927272	ERR8025257	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C08	413	Mbandaka	52.09	1977656	97.33	2.39	0.19	0.09	116	0	245034	4879935	No result	No result	ERS9927204	ERR8025188	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C09	Unknown	Heidelberg	52.05	2508214	97.22	2.48	0.19	0.11	82	0	291118	4918399	gyrA (S83F)	"blaCTX_M_8.NG_049032.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927228	ERR8025213	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C10	367	Cerro	52.32	2546870	96.95	2.67	0.18	0.2	91	0	351813	4508006	No result	No result	ERS9927199	ERR8025183	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C11	65	Brandenburg	52.06	2170626	97.16	2.52	0.19	0.14	94	0	386483	4653440	No result	qnrB19.NG_050479.1	ERS9927241	ERR8025226	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1C12	469	Rissen	52.05	2115512	97.11	2.55	0.19	0.14	116	0	423147	4879807	No result	qnrE1.NG_054677.1	ERS9927214	ERR8025198	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D01	15	Heidelberg	52	1791596	97.24	2.47	0.18	0.11	96	0	269229	5074638	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927309	ERR8025297	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D02	96	Schwarzengrund	52.15	2009514	97.4	2.31	0.19	0.1	56	0	412614	4556427	No result	No result	ERS9927217	ERR8025202	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D03	Unknown	Heidelberg	51.98	1708134	97.21	2.49	0.18	0.12	97	0	291134	5073509	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927207	ERR8025191	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Rio Grande do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D04	469	Rissen	52.11	1956246	96.99	2.62	0.19	0.21	73	0	496646	4790675	No result	No result	ERS9927288	ERR8025274	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D05	45	Newport	51.98	1904456	97.07	2.6	0.18	0.15	81	0	601786	4896841	No result	"aac_3__IId.NG_047251.1, aadA2.NG_047343.1, blaTEM_1.NG_050145.1, dfrA12.NG_047689.1, tet_B_.NG_048163.1"	ERS9927366	ERR8025373	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D06	24	Javiana	51.99	1705396	97.27	2.45	0.18	0.11	36	0	695944	4526143	No result	No result	ERS9927354	ERR8025361	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D07	15	Heidelberg	51.99	3170196	97.13	2.52	0.18	0.17	96	0	297294	5071541	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927364	ERR8025371	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D09	15	Heidelberg	52.08	2336010	97.2	2.5	0.19	0.11	90	0	248419	5031491	gyrA (S83F)	"aac_3__VIa.NG_052583.3, aadA1.NG_047324.1, fosA7.NG_054942.1, qacEdelta1.NG_048042.1, sul1.NG_048082.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927299	ERR8025286	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D10	15	Heidelberg	52.05	2346456	96.99	2.63	0.18	0.19	86	0	331916	4990611	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927190	ERR8025174	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D11	Unknown	Fresno	52.21	1988042	97.34	2.34	0.19	0.13	105	0	527474	4789686	No result	No result	ERS9927210	ERR8025194	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1D12	19	Typhimurium	52.18	2066716	97.2	2.46	0.19	0.15	93	0	244321	4894535	No result	No result	ERS9927242	ERR8025227	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E01	15	Heidelberg	52.02	1797174	97.22	2.48	0.19	0.11	83	0	236428	5008451	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927326	ERR8025314	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1E02	15	Heidelberg	52.02	1928734	97.17	2.55	0.18	0.1	89	0	276202	5005942	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927295	ERR8025282	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
